team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td
NO,2015,34,50,44,18,34,16
NO,2016,41,60,49,29,41,18
NO,2017,24,49,47,31,24,23
NO,2018,33,60,52,28,33,27
NO,2019,36,48,48,32,36,12
NO,2020,28,58,57,23,28,30
NO,2021,32,44,31,25,32,12
NO,2022,27,40,33,23,27,13
NO,2023,30,43,40,30,30,13
NYG,2012,28,47,46,33,28,18
NYG,2013,22,38,31,23,22,13
NYG,2014,33,48,44,24,33,13
NYG,2015,39,45,44,30,39,5
NYG,2016,27,33,31,21,27,6
NYG,2017,21,28,20,18,21,6
NYG,2018,24,37,31,32,24,13
NYG,2019,34,46,35,12,34,11
NYG,2020,13,26,21,31,13,13
NYG,2021,18,26,17,29,18,8
NYG,2022,17,38,32,29,17,21
NYG,2023,17,28,24,23,17,10
NYJ,2012,16,33,30,21,16,13
NYJ,2013,19,31,27,33,19,12
NYJ,2014,19,31,23,32,19,11
NYJ,2015,34,49,42,27,34,11
NYJ,2016,19,32,24,27,19,11
NYJ,2017,20,35,29,25,20,14
NYJ,2018,21,33,30,33,21,11
NYJ,2019,21,28,23,19,21,6
NYJ,2020,19,28,20,21,19,9
NYJ,2021,20,35,23,21,20,14
NYJ,2022,15,30,28,30,15,13
NYJ,2023,13,21,16,36,13,7
PHI,2012,23,36,25,27,23,12
PHI,2013,33,55,45,23,33,20
PHI,2014,29,49,54,32,29,17
PHI,2015,25,42,42,21,25,16
PHI,2016,16,35,30,35,16,16
PHI,2017,40,51,40,29,40,10
PHI,2018,30,42,33,26,30,12
PHI,2019,27,43,35,22,27,16
PHI,2020,23,40,24,14,23,17
PHI,2021,21,46,44,30,21,25
PHI,2022,28,60,53,22,28,32
PHI,2023,26,48,45,30,26,22
PIT,2012,30,40,34,28,30,9
PIT,2013,30,39,39,30,30,9
PIT,2014,33,44,45,29,33,10
PIT,2015,26,42,32,35,26,16
PIT,2016,33,47,37,24,33,13
PIT,2017,31,44,37,35,31,12
PIT,2018,36,53,44,16,36,16
PIT,2019,18,27,28,29,18,9
PIT,2020,36,48,41,23,36,12
PIT,2021,24,34,27,36,24,10
PIT,2022,13,29,26,34,13,16
PIT,2023,13,29,27,29,13,16
SEA,2012,29,47,46,24,29,16
SEA,2013,27,43,44,34,27,15
SEA,2014,20,42,41,31,20,20
SEA,2015,35,48,40,29,35,11
SEA,2016,23,36,29,33,23,13
SEA,2017,35,40,37,21,35,4
SEA,2018,37,53,48,22,37,15
SEA,2019,35,52,40,23,35,16
SEA,2020,41,56,49,24,41,15
SEA,2021,31,50,44,17,31,18
SEA,2022,31,44,41,34,31,13
SEA,2023,23,34,33,35,23,11
SF,2012,23,44,44,30,23,19
SF,2013,21,40,44,32,21,18
SF,2014,22,34,33,25,22,10
SF,2015,18,25,20,24,18,7
SF,2016,21,37,33,18,21,16
SF,2017,16,32,28,39,16,15
SF,2018,30,38,27,33,30,7
SF,2019,30,54,49,30,30,23
SF,2020,28,48,38,22,28,20
SF,2021,26,48,42,27,26,22
SF,2022,30,52,51,28,30,21
SF,2023,34,61,60,21,34,27
TB,2012,30,44,39,28,30,13
TB,2013,23,30,31,23,23,6
TB,2014,23,31,31,20,23,7
TB,2015,25,37,31,29,25,12
TB,2016,31,39,32,22,31,8
TB,2017,27,37,28,25,27,8
TB,2018,40,52,40,20,40,12
TB,2019,40,55,43,27,40,15
TB,2020,44,61,52,28,44,16
TB,2021,45,63,56,25,45,18
TB,2022,26,31,24,31,26,5
TB,2023,28,36,33,29,28,8
TEN,2012,22,35,35,25,22,10
TEN,2013,24,40,41,25,24,16
TEN,2014,22,28,27,19,22,6
TEN,2015,29,41,29,14,29,11
TEN,2016,33,53,39,22,33,18
TEN,2017,17,36,31,35,17,19
TEN,2018,17,33,28,26,17,15
TEN,2019,29,50,50,8,29,21
TEN,2020,34,62,51,20,34,26
TEN,2021,23,46,43,26,23,23
TEN,2022,19,35,32,20,19,16
TEN,2023,16,33,28,29,16,16
WAS,2012,24,49,50,24,24,24
WAS,2013,22,40,33,21,22,14
WAS,2014,22,39,31,24,22,15
WAS,2015,32,44,40,26,32,9
WAS,2016,28,45,36,34,28,17
WAS,2017,31,42,36,24,31,10
WAS,2018,19,32,25,26,19,12
WAS,2019,21,31,21,25,21,9
WAS,2020,17,35,30,27,17,18
WAS,2021,23,38,25,28,23,13
WAS,2022,26,35,24,25,26,9
WAS,2023,29,44,32,19,29,15
