team,season,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards
NO,2016,11.08,12090,4818,5258,5258,2438,1754
NO,2017,10.86,10617,3418,4334,4334,2369,2092
NO,2018,10.37,10274,3769,4174,4174,1898,2050
NO,2019,10.55,10433,3742,4431,4431,2257,1758
NO,2020,9.75,9989,3255,3945,3945,1911,2286
NO,2021,8.3,8629,3741,3437,3437,1682,2006
NO,2022,9.61,9660,4551,3969,3969,1622,1993
NO,2023,9.07,9992,5016,4225,4225,1799,1769
NYG,2012,10.12,9670,5132,3967,3967,1406,1876
NYG,2013,8.99,8807,5372,3875,3875,1490,1342
NYG,2014,9.61,10355,5023,4470,4470,1981,1613
NYG,2015,10.02,10471,4709,4500,4508,2121,1618
NYG,2016,9.33,9338,4702,4027,4027,2011,1432
NYG,2017,8.44,8720,4391,3680,3680,1727,1559
NYG,2018,10.27,10116,4373,4405,4405,2200,1656
NYG,2019,9.39,9489,4889,4070,4064,1807,1690
NYG,2020,8.58,8153,3986,3336,3336,1264,1787
NYG,2021,8.03,8364,4367,3463,3463,1617,1697
NYG,2022,8.48,9128,3335,3431,3431,1698,2534
NYG,2023,7.74,8120,3787,3351,3351,1601,1881
NYJ,2012,7.75,7970,4397,3178,3178,1124,1901
NYJ,2013,8.27,8366,4326,3270,3270,1345,2164
NYJ,2014,8.06,8438,4128,3206,3206,1506,2249
NYJ,2015,9.52,10106,5545,4170,4170,1889,1879
NYJ,2016,8.93,8915,4902,3645,3641,1599,1798
NYJ,2017,8.7,8412,3941,3501,3511,1536,1717
NYJ,2018,8.56,8201,4637,3404,3404,1586,1632
NYJ,2019,8.3,7844,4213,3443,3455,1753,1272
NYJ,2020,8.09,7603,4247,3115,3115,1516,1690
NYJ,2021,8.83,9144,4350,3959,3919,1957,1676
NYJ,2022,8.9,9466,5173,4040,4047,1843,1696
NYJ,2023,7.58,7950,4000,3373,3373,1782,1652
PHI,2012,9.08,9732,5281,4075,4060,1829,1881
PHI,2013,10.68,11110,4996,4406,4408,2040,2576
PHI,2014,9.87,10941,5585,4581,4581,2105,2004
PHI,2015,9.35,10179,4245,4341,4337,2251,1755
PHI,2016,8.59,9218,4552,3798,3798,1768,1827
PHI,2017,9.28,9847,5280,3967,3967,1550,2133
PHI,2018,10.11,10393,4458,4524,4527,2151,1581
PHI,2019,8.97,9850,4917,4063,4063,1820,1950
PHI,2020,8.47,9102,5318,3728,3728,1504,2033
PHI,2021,9.12,9726,4230,3585,3585,1729,2727
PHI,2022,9.97,11019,4442,4364,4378,2053,2532
PHI,2023,9.15,10103,4844,4067,4067,1786,2200
PIT,2012,9.25,9347,4949,4012,4010,1846,1548
PIT,2013,9.58,9666,4958,4306,4252,2005,1395
PIT,2014,11.12,11612,5230,4997,5013,2297,1768
PIT,2015,11.2,11193,5889,4822,4832,1950,1744
PIT,2016,10.2,10361,5180,4377,4377,1983,1776
PIT,2017,10.3,10614,5242,4534,4534,2189,1696
PIT,2018,11.1,11609,5327,5174,5131,2777,1462
PIT,2019,8.28,7655,4026,3214,3210,1747,1464
PIT,2020,9.25,9496,4652,4129,4115,2054,1374
PIT,2021,8.52,9383,4425,4017,4005,2042,1596
PIT,2022,8.33,9173,4708,3661,3671,1438,2085
PIT,2023,8.55,8616,3785,3421,3414,1738,2037
SEA,2012,9.22,8855,4064,3234,3228,1271,2596
SEA,2013,9.39,8954,3995,3508,3508,1517,2210
SEA,2014,9.5,9524,3715,3492,3492,1881,2782
SEA,2015,10.0,10147,4144,4061,4063,1851,2292
SEA,2016,10.2,10159,4849,4422,4422,1837,1611
SEA,2017,9.34,9286,5429,3979,3979,1609,1629
SEA,2018,9.22,9122,3832,3448,3448,1385,2572
SEA,2019,9.81,10118,4863,4110,4110,1723,2215
SEA,2020,10.12,10176,4834,4245,4245,1841,1988
SEA,2021,9.85,9330,4619,3815,3815,1743,2081
SEA,2022,9.94,10270,4319,4282,4282,1780,2054
SEA,2023,9.83,9672,4121,4167,4167,2019,1591
SF,2012,9.81,9359,3814,3551,3551,1480,2510
SF,2013,8.89,8405,3950,3210,3210,1339,2216
SF,2014,8.71,8662,4737,3407,3407,1393,2192
SF,2015,8.87,8518,3902,3646,3646,1923,1554
SF,2016,8.2,8108,4013,3166,3166,1470,2029
SF,2017,9.4,9832,4810,4235,4235,1910,1672
SF,2018,10.11,10035,3807,4247,4247,2316,1917
SF,2019,10.19,10149,3126,4029,4029,2192,2324
SF,2020,9.86,10250,3770,4320,4317,2294,1898
SF,2021,10.5,10835,4004,4437,4429,2246,2177
SF,2022,9.98,10283,3484,4049,4049,2236,2378
SF,2023,11.42,11374,4019,4577,4577,2189,2413
TB,2012,9.98,9990,5680,4144,4144,1656,1861
TB,2013,7.87,7646,4714,3181,3181,1136,1645
TB,2014,8.92,8295,5488,3623,3623,1154,1375
TB,2015,10.01,10081,5340,4042,4047,1481,2180
TB,2016,9.21,9735,5819,4165,4165,1404,1636
TB,2017,10.12,10440,6172,4607,4613,1648,1457
TB,2018,11.46,12017,6642,5358,5358,1769,1532
TB,2019,10.74,11516,6493,5127,5127,1898,1534
TB,2020,11.03,10935,5637,4776,4776,1890,1533
TB,2021,10.97,12302,5911,5383,5383,2573,1688
TB,2022,9.29,10643,5162,4746,4732,2335,1321
TB,2023,9.13,9388,4865,4044,4044,1927,1530
TEN,2012,9.05,8605,4783,3577,3585,1405,1695
TEN,2013,8.95,9112,4799,3710,3710,1661,1906
TEN,2014,9.47,8567,4701,3738,3695,1628,1460
TEN,2015,9.16,8892,4858,3893,3893,1619,1492
TEN,2016,9.5,9462,4750,3720,3720,1321,2201
TEN,2017,8.78,8431,4375,3394,3394,1298,1846
TEN,2018,8.88,8262,3265,3255,3255,1648,2032
TEN,2019,10.54,9780,3898,3956,3956,1836,2240
TEN,2020,9.95,10192,4059,3826,3826,1529,2705
TEN,2021,8.57,9586,4004,3745,3745,1772,2419
