team,season,total_points,td_points,xp_points,fg_points
SF,2017,337,192,28,117
SF,2018,354,228,27,99
SF,2019,463,324,49,90
SF,2020,392,288,38,66
SF,2021,411,288,42,81
SF,2022,447,312,51,84
SF,2023,489,366,60,63
TB,2012,387,264,39,84
TB,2013,280,180,31,69
TB,2014,277,186,31,60
TB,2015,340,222,31,87
TB,2016,332,234,32,66
TB,2017,325,222,28,75
TB,2018,412,312,40,60
TB,2019,454,330,43,81
TB,2020,502,366,52,84
TB,2021,509,378,56,75
TB,2022,303,186,24,93
TB,2023,336,216,33,87
TEN,2012,320,210,35,75
TEN,2013,356,240,41,75
TEN,2014,252,168,27,57
TEN,2015,317,246,29,42
TEN,2016,423,318,39,66
TEN,2017,352,216,31,105
TEN,2018,304,198,28,78
TEN,2019,374,300,50,24
TEN,2020,483,372,51,60
TEN,2021,397,276,43,78
TEN,2022,302,210,32,60
TEN,2023,313,198,28,87
WAS,2012,416,294,50,72
WAS,2013,336,240,33,63
WAS,2014,337,234,31,72
WAS,2015,382,264,40,78
WAS,2016,408,270,36,102
WAS,2017,360,252,36,72
WAS,2018,295,192,25,78
WAS,2019,282,186,21,75
WAS,2020,321,210,30,81
WAS,2021,337,228,25,84
WAS,2022,309,210,24,75
WAS,2023,353,264,32,57
