team,season,home_wins,home_losses,home_ties,away_wins,away_losses,away_ties,wins,losses,ties
IND,2022,2,6,0,2,7,1,4,13,1
IND,2023,4,5,0,5,3,0,9,8,0
JAX,2012,1,7,0,1,7,0,2,14,0
JAX,2013,1,7,0,3,5,0,4,12,0
JAX,2014,3,5,0,0,8,0,3,13,0
JAX,2015,4,4,0,1,7,0,5,11,0
JAX,2016,2,6,0,1,7,0,3,13,0
JAX,2017,6,2,0,4,4,0,10,6,0
JAX,2018,3,5,0,2,6,0,5,11,0
JAX,2019,3,5,0,3,5,0,6,10,0
JAX,2020,1,7,0,0,8,0,1,15,0
JAX,2021,3,6,0,0,8,0,3,14,0
JAX,2022,5,3,0,4,5,0,9,8,0
JAX,2023,4,5,0,5,3,0,9,8,0
KC,2012,1,7,0,1,7,0,2,14,0
KC,2013,5,3,0,6,2,0,11,5,0
KC,2014,6,2,0,3,5,0,9,7,0
KC,2015,6,2,0,5,3,0,11,5,0
KC,2016,6,2,0,6,2,0,12,4,0
KC,2017,6,2,0,4,4,0,10,6,0
KC,2018,7,1,0,5,3,0,12,4,0
KC,2019,5,3,0,7,1,0,12,4,0
KC,2020,6,2,0,8,0,0,14,2,0
KC,2021,7,2,0,5,3,0,12,5,0
KC,2022,7,1,0,7,2,0,14,3,0
KC,2023,5,4,0,6,2,0,11,6,0
LA,2012,4,4,0,3,5,1,7,9,1
LA,2013,5,3,0,2,6,0,7,9,0
LA,2014,3,5,0,3,5,0,6,10,0
LA,2015,5,3,0,2,6,0,7,9,0
LA,2016,1,7,0,3,5,0,4,12,0
LA,2017,4,4,0,7,1,0,11,5,0
LA,2018,7,1,0,6,2,0,13,3,0
LA,2019,5,3,0,4,4,0,9,7,0
LA,2020,6,2,0,4,4,0,10,6,0
LA,2021,5,3,0,7,2,0,12,5,0
LA,2022,4,5,0,1,7,0,5,12,0
LA,2023,5,3,0,5,4,0,10,7,0
LAC,2012,3,5,0,4,4,0,7,9,0
LAC,2013,5,3,0,4,4,0,9,7,0
LAC,2014,5,3,0,4,4,0,9,7,0
LAC,2015,3,5,0,1,7,0,4,12,0
LAC,2016,3,5,0,2,6,0,5,11,0
LAC,2017,5,3,0,4,4,0,9,7,0
LAC,2018,5,3,0,7,1,0,12,4,0
LAC,2019,2,6,0,3,5,0,5,11,0
