player_id,season,total_yards,receiving_air_yards,yards_after_catch,rushing_yards,passing_yards,passing_air_yards,ypg
00-0032543,2016,71.0,85.0,31.0,0.0,0.0,0.0,11.83
00-0032543,2017,196.0,189.0,39.0,16.0,0.0,0.0,19.6
00-0032543,2018,189.0,265.0,75.0,22.0,0.0,0.0,17.18
00-0032543,2019,588.0,685.0,227.0,33.0,26.0,23.0,39.2
00-0032543,2020,146.0,122.0,67.0,7.0,0.0,21.0,16.22
00-0032543,2021,55.0,33.0,30.0,0.0,0.0,0.0,13.75
00-0032543,2023,227.0,295.0,53.0,0.0,0.0,0.0,28.38
00-0028034,2012,589.0,-33.0,158.0,464.0,0.0,0.0,53.55
00-0028034,2013,43.0,-9.0,17.0,35.0,0.0,0.0,10.75
00-0023436,2012,1742.0,0.0,0.0,142.0,1600.0,1674.0,174.2
00-0023436,2013,3539.0,-5.0,1.0,440.0,3103.0,3362.0,235.93
00-0023436,2014,3294.0,0.0,0.0,258.0,3036.0,2702.0,219.6
00-0023436,2015,3765.0,0.0,0.0,510.0,3255.0,3173.0,235.31
00-0023436,2016,3519.0,0.0,3.0,150.0,3366.0,3296.0,234.6
00-0023436,2017,4201.0,0.0,0.0,366.0,3835.0,3877.0,280.07
00-0023436,2018,2232.0,0.0,0.0,173.0,2059.0,2650.0,223.2
00-0023436,2020,1452.0,0.0,0.0,9.0,1443.0,1286.0,181.5
00-0029623,2015,65.0,0.0,0.0,0.0,65.0,123.0,65.0
00-0029623,2019,1.0,0.0,0.0,0.0,1.0,1.0,1.0
00-0035104,2019,46.0,75.0,6.0,0.0,0.0,0.0,23.0
00-0034972,2019,544.0,27.0,74.0,462.0,0.0,0.0,41.85
00-0034972,2020,559.0,41.0,108.0,434.0,0.0,0.0,43.0
00-0034972,2021,719.0,3.0,238.0,491.0,0.0,0.0,44.94
00-0034972,2022,374.0,-33.0,121.0,283.0,0.0,0.0,22.0
00-0034972,2023,892.0,24.0,181.0,700.0,0.0,0.0,55.75
00-0027346,2012,21.0,8.0,20.0,0.0,0.0,0.0,10.5
00-0027346,2013,122.0,-5.0,76.0,54.0,0.0,0.0,15.25
00-0027346,2014,30.0,-13.0,20.0,19.0,0.0,0.0,10.0
00-0031075,2014,641.0,40.0,75.0,528.0,0.0,0.0,40.06
00-0031075,2015,807.0,43.0,68.0,698.0,0.0,0.0,57.64
00-0031075,2016,460.0,31.0,28.0,420.0,0.0,0.0,32.86
00-0031075,2017,316.0,9.0,42.0,262.0,0.0,0.0,39.5
00-0031075,2018,653.0,73.0,107.0,499.0,0.0,0.0,40.81
00-0029141,2012,1690.0,23.0,65.0,1613.0,0.0,0.0,105.62
00-0029141,2013,1353.0,11.0,79.0,1275.0,0.0,0.0,84.56
00-0029141,2014,1229.0,18.0,154.0,1074.0,0.0,0.0,76.81
00-0029141,2015,806.0,14.0,38.0,751.0,0.0,0.0,50.38
00-0029141,2016,254.0,-13.0,11.0,243.0,0.0,0.0,19.54
00-0029141,2017,592.0,1.0,44.0,547.0,0.0,0.0,45.54
00-0029141,2018,501.0,-4.0,67.0,428.0,0.0,0.0,45.55
00-0029141,2019,4.0,0.0,0.0,4.0,0.0,0.0,4.0
00-0029141,2020,257.0,4.0,17.0,238.0,0.0,0.0,28.56
00-0030821,2014,677.0,1051.0,205.0,0.0,0.0,0.0,42.31
00-0030821,2015,1031.0,1216.0,347.0,0.0,0.0,0.0,68.73
00-0030821,2016,477.0,749.0,211.0,0.0,0.0,0.0,43.36
00-0030821,2017,484.0,542.0,175.0,0.0,0.0,0.0,48.4
00-0030821,2018,295.0,399.0,78.0,0.0,0.0,0.0,22.69
00-0030821,2019,416.0,507.0,96.0,0.0,0.0,0.0,29.71
00-0034521,2018,7.0,7.0,0.0,0.0,0.0,0.0,7.0
00-0034521,2019,498.0,736.0,131.0,21.0,0.0,0.0,45.27
00-0034521,2020,468.0,458.0,195.0,17.0,0.0,0.0,46.8
00-0034521,2021,545.0,647.0,174.0,32.0,0.0,0.0,38.93
00-0034521,2022,788.0,1249.0,248.0,0.0,0.0,0.0,52.53
00-0034521,2023,311.0,597.0,56.0,0.0,0.0,0.0,23.92
00-0031428,2014,550.0,897.0,159.0,0.0,0.0,0.0,55.0
00-0031428,2015,1400.0,2245.0,356.0,0.0,0.0,0.0,87.5
00-0031428,2016,885.0,1969.0,210.0,0.0,0.0,0.0,55.31
00-0031428,2017,17.0,15.0,2.0,0.0,0.0,0.0,17.0
00-0031428,2018,763.0,1141.0,216.0,9.0,0.0,0.0,58.69
00-0031428,2019,1149.0,1702.0,272.0,2.0,0.0,0.0,71.81
00-0031428,2020,1249.0,1450.0,319.0,-1.0,0.0,0.0,78.06
00-0031428,2021,412.0,755.0,92.0,0.0,0.0,0.0,34.33
00-0031428,2022,339.0,502.0,71.0,0.0,0.0,0.0,33.9
00-0031428,2023,280.0,370.0,68.0,0.0,0.0,0.0,20.0
00-0029137,2012,367.0,797.0,65.0,0.0,0.0,0.0,36.7
00-0029137,2013,1528.0,1867.0,415.0,105.0,0.0,0.0,95.5
00-0029137,2014,1166.0,1592.0,466.0,33.0,0.0,0.0,72.88
00-0029137,2015,807.0,1371.0,177.0,0.0,0.0,0.0,89.67
00-0029137,2016,821.0,1270.0,199.0,0.0,0.0,0.0,68.42
00-0029137,2017,793.0,1654.0,203.0,0.0,0.0,0.0,49.56
00-0029137,2018,840.0,1013.0,269.0,0.0,0.0,0.0,64.62
00-0029137,2019,492.0,803.0,116.0,2.0,0.0,0.0,54.67
00-0029137,2020,115.0,188.0,25.0,0.0,0.0,0.0,16.43
00-0033906,2017,1556.0,241.0,683.0,730.0,0.0,0.0,97.25
00-0033906,2018,1598.0,192.0,642.0,889.0,0.0,0.0,106.53
00-0033906,2019,1343.0,26.0,557.0,797.0,13.0,11.0,95.93
00-0033906,2020,1688.0,60.0,731.0,932.0,0.0,0.0,112.53
00-0033906,2021,1337.0,77.0,437.0,898.0,0.0,0.0,102.85
00-0033906,2022,1387.0,73.0,461.0,897.0,0.0,0.0,92.47
00-0033906,2023,1166.0,5.0,501.0,698.0,0.0,0.0,89.69
00-0033937,2017,71.0,157.0,16.0,0.0,0.0,0.0,8.88
00-0031544,2018,1025.0,1048.0,415.0,20.0,0.0,0.0,113.89
00-0031544,2019,1195.0,1523.0,240.0,6.0,0.0,0.0,74.69
00-0031544,2020,1130.0,1145.0,413.0,16.0,0.0,0.0,70.62
00-0031544,2021,865.0,1152.0,229.0,0.0,0.0,0.0,57.67
00-0031544,2022,1160.0,1642.0,299.0,0.0,0.0,18.0,68.24
00-0031544,2023,1252.0,1834.0,271.0,0.0,0.0,0.0,83.47
