player_id,season,team,position
00-0034646,2023,MIN,WR
00-0015754,2012,DEN,WR
00-0015754,2013,BAL,WR
00-0027057,2012,CIN,WR
00-0027057,2013,CIN,WR
00-0027057,2014,CIN,WR
00-0027057,2015,CIN,WR
00-0027057,2016,BUF,WR
00-0027057,2017,BUF,WR
00-0029677,2012,CLE,QB
00-0029677,2013,CLE,QB
00-0029677,2014,DAL,QB
00-0029677,2015,DAL,QB
00-0032593,2016,NYJ,RB
00-0032593,2018,JAX,RB
00-0034052,2018,MIN,WR
00-0034052,2019,CAR,WR
00-0034052,2020,CAR,WR
00-0034052,2021,CAR,WR
00-0034419,2019,NYJ,WR
00-0034419,2020,NYJ,WR
00-0034419,2021,NYJ,WR
00-0034419,2022,NYJ,WR
00-0034419,2023,MIA,WR
00-0033069,2016,HOU,WR
00-0033069,2017,HOU,WR
00-0023438,2012,SEA,WR
00-0037355,2022,MIA,WR
00-0038120,2022,NYJ,RB
00-0038120,2023,NYJ,RB
00-0025549,2012,PHI,TE
00-0025549,2013,PHI,TE
00-0025549,2014,PHI,TE
00-0025549,2015,PHI,TE
00-0025549,2016,PHI,TE
00-0025549,2017,PHI,TE
00-0038935,2023,JAX,TE
00-0032054,2016,BAL,WR
00-0032054,2017,BAL,WR
00-0032054,2018,CLE,WR
00-0032054,2019,TB,WR
00-0032054,2020,NYJ,WR
00-0032054,2022,TB,WR
00-0031589,2016,GB,QB
00-0031589,2017,GB,QB
00-0031589,2019,ARI,QB
00-0034955,2020,DEN,QB
00-0034955,2021,DEN,QB
00-0034955,2022,DEN,QB
00-0034955,2023,LA,QB
00-0036556,2021,HOU,TE
00-0036556,2022,HOU,TE
00-0036556,2023,HOU,TE
00-0027077,2012,MIA,WR
00-0027077,2013,MIA,WR
00-0027077,2014,MIA,WR
00-0027077,2015,CLE,WR
00-0033567,2017,CIN,RB
00-0033567,2018,ATL,RB
00-0033567,2019,ATL,RB
00-0033567,2020,ATL,RB
00-0026625,2012,ARI,QB
00-0026625,2013,CLE,QB
00-0026625,2014,CLE,QB
00-0026625,2015,HOU,QB
00-0026625,2016,CHI,QB
00-0026625,2017,NE,QB
00-0026625,2018,NE,QB
00-0026625,2019,IND,QB
00-0026625,2020,NE,QB
00-0026625,2021,NE,QB
00-0026625,2022,NE,QB
00-0026625,2023,LV,QB
00-0025439,2012,CIN,RB
00-0025439,2013,TB,RB
00-0032089,2015,KC,TE
00-0032089,2018,DEN,TE
00-0029640,2016,LA,WR
00-0029640,2017,WAS,WR
00-0029640,2018,WAS,WR
00-0037746,2022,WAS,RB
00-0037746,2023,WAS,RB
00-0030516,2015,DAL,WR
00-0030516,2016,DAL,WR
00-0030516,2017,DAL,WR
00-0030516,2018,MIA,WR
00-0037132,2023,PHI,WR
00-0029336,2013,ARI,WR
00-0029336,2015,ARI,WR
00-0029336,2016,ARI,WR
00-0029336,2017,ARI,WR
00-0029682,2012,DEN,QB
00-0029682,2013,DEN,QB
00-0029682,2014,DEN,QB
00-0029682,2015,DEN,QB
00-0029682,2016,HOU,QB
00-0029682,2017,DEN,QB
00-0029682,2018,MIA,QB
00-0037834,2022,SF,QB
00-0037834,2023,SF,QB
00-0036754,2021,DET,TE
00-0036754,2022,DET,TE
00-0036754,2023,DET,TE
00-0032298,2016,JAX,RB
00-0032298,2017,ARI,RB
00-0031326,2014,SF,WR
00-0031326,2015,SF,WR
00-0031326,2017,HOU,WR
00-0031326,2018,HOU,WR
00-0024408,2012,CIN,QB
00-0036365,2020,LV,WR
00-0036365,2021,LV,WR
00-0036365,2022,ATL,WR
00-0029429,2012,PHI,RB
00-0029429,2013,PHI,RB
00-0029429,2014,BUF,RB
00-0029429,2015,SEA,RB
00-0035939,2022,LA,QB
00-0031568,2016,NYJ,QB
00-0031568,2017,NYJ,QB
00-0032724,2016,PHI,WR
00-0032724,2017,CLE,WR
00-0039150,2023,CAR,QB
00-0036424,2021,LA,TE
00-0036424,2022,LA,TE
00-0036424,2023,LA,TE
00-0034449,2019,HOU,RB
00-0034449,2020,HOU,RB
00-0034449,2021,LA,RB
00-0022177,2012,PIT,QB
00-0032964,2016,PHI,RB
00-0032964,2017,WAS,RB
00-0032964,2018,WAS,RB
00-0034297,2019,KC,WR
00-0034297,2020,KC,WR
00-0034297,2021,KC,WR
00-0034297,2022,CHI,WR
00-0034297,2023,WAS,WR
00-0029854,2013,DEN,RB
00-0029854,2014,DEN,RB
00-0029854,2015,DEN,RB
00-0029854,2016,DEN,RB
00-0029854,2017,DEN,RB
00-0029854,2018,CAR,RB
00-0029854,2019,DET,RB
00-0033936,2017,SF,QB
00-0033936,2018,SF,QB
00-0033936,2020,SF,QB
00-0033936,2021,JAX,QB
00-0033936,2022,JAX,QB
