team,season,receiving_td,touchdown,extra_point_attempt,field_goal_attempt,pass_td,run_td,yps,yards_gained,air_yards,passing_yards,receiving_yards,yards_after_catch,rushing_yards,pass_attempts,complete_pass,incomplete_pass,interception,receptions
CLE,2016,17,30,23,21,17,13,8.83,8675,4852,3693,3693,1694,1714,551,338,213,14,338
CLE,2017,19,31,25,15,19,11,8.44,8484,5188,3537,3537,1743,1717,545,312,233,28,312
CLE,2018,31,46,28,19,31,15,10.02,10181,5450,4261,4261,1913,1905,553,353,200,17,353
CLE,2019,23,39,30,25,23,16,9.63,9308,4628,3847,3847,1825,1907,516,318,198,21,318
CLE,2020,28,49,43,19,28,21,9.59,9631,4238,3701,3701,1405,2387,488,315,173,8,315
CLE,2021,22,42,37,16,22,20,9.03,9415,4278,3619,3606,1755,2483,503,320,183,14,320
CLE,2022,19,38,35,24,19,19,8.79,9655,4453,3710,3710,1593,2499,523,335,188,12,335
CLE,2023,29,44,30,34,29,15,8.25,9744,5299,4011,4011,1853,2028,597,355,242,23,355
DAL,2012,32,42,37,29,32,8,10.63,11014,5782,4992,4992,1976,1287,636,434,202,19,434
DAL,2013,33,46,47,28,33,12,10.21,9695,4673,4226,4226,2007,1513,573,375,198,12,375
DAL,2014,38,56,56,25,38,17,10.17,10161,4275,4008,4008,1787,2369,464,328,136,11,328
DAL,2015,21,29,25,30,21,8,9.43,9048,4052,3677,3677,1769,1898,504,334,170,22,334
DAL,2016,25,49,46,27,25,24,9.91,9849,3877,3799,3799,1645,2419,475,325,150,6,325
DAL,2017,27,45,36,22,27,18,8.64,8627,3943,3326,3308,1346,2178,478,309,169,13,309
DAL,2018,23,36,32,29,23,13,9.33,9404,3984,3885,3885,1892,1979,519,356,163,8,356
DAL,2019,30,48,46,30,30,18,11.14,11820,5613,4902,4902,1880,2163,585,388,197,11,388
DAL,2020,28,43,33,34,28,14,9.43,10473,4748,4511,4511,2060,1793,623,413,210,13,413
DAL,2021,42,58,47,29,42,15,10.41,11903,5093,4963,4949,2255,2127,636,444,192,11,444
DAL,2022,31,55,50,29,31,24,9.05,9959,4470,3911,3911,1667,2312,537,355,182,18,355
DAL,2023,37,51,49,36,37,14,9.97,11005,4794,4660,4660,2043,1940,604,428,176,10,428
DEN,2012,39,52,55,26,39,12,10.39,11065,4885,4671,4664,1875,1865,574,402,172,11,402
DEN,2013,57,74,75,25,57,16,11.41,12913,5263,5572,5572,2652,1897,664,461,203,10,461
DEN,2014,41,58,56,24,41,16,10.75,11249,5121,4779,4779,1912,1805,590,399,191,15,399
DEN,2015,22,35,35,30,22,13,9.47,9913,5534,4216,4216,1852,1727,582,368,214,23,368
DEN,2016,21,32,32,29,21,11,9.04,9103,5004,3914,3914,1576,1502,558,339,219,11,339
DEN,2017,22,32,27,24,22,9,8.3,8869,4749,3668,3668,1627,1864,542,332,210,22,332
DEN,2018,19,39,35,20,19,19,9.47,9539,4396,3930,3928,1806,1916,571,367,204,15,367
DEN,2019,17,30,25,29,17,11,8.68,8192,3522,3401,3401,1701,1674,493,312,181,10,312
DEN,2020,24,37,25,28,24,13,8.88,9063,5023,3673,3673,1628,1935,531,317,214,23,317
DEN,2021,21,39,33,26,21,18,9.19,9482,4562,3856,3856,1734,2031,531,354,177,9,354
DEN,2022,20,32,25,28,20,12,8.92,9545,4998,4007,4007,1987,1944,555,345,210,15,345
DEN,2023,29,39,29,30,29,8,8.65,8667,3753,3566,3566,2067,1831,500,337,163,9,337
DET,2012,28,47,38,32,28,17,10.14,11685,6458,5139,5139,2095,1617,718,445,273,17,445
DET,2013,33,49,42,19,33,15,10.02,10943,5240,4650,4650,2270,1807,612,371,241,19,371
DET,2014,22,34,32,25,22,11,9.51,9756,4819,4284,4284,2236,1440,589,365,224,12,365
DET,2015,34,41,36,22,34,7,9.82,10026,4132,4463,4463,2495,1351,618,420,198,14,420
DET,2016,25,34,31,31,25,9,10.04,9759,4421,4327,4327,2227,1319,581,388,193,10,388
